id,__index,title,price,image,description,category,special
"1","0","Wonton Soup","7","https://eatoutsocial.com/pages/bay101/players_menu_img/./Wonton%20Soup/1.%20wontons_1-680x952.jpg","Shrimp & Pork Dumpling, Bok Choy","soup","v0"
"2","1","Beef Pho","7","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Beef%20Pho/1.%201382451880742.jpeg","Veal Broth, Brisket, Tendon, Tripe, Meatballs, Rare Flank","soup","v0"
"3","2","Bun Bo Hue","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Bun%20Bo%20Hue/1.%20bun-bo-hue-46.jpg","Spicy Pork & Shrimp Broth, Beef Flank","soup","v0"
"4","3","Soup of the Day","4","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Soup%20of%20the%20Day/1.%20soups.jpg","Comes in a cup; can be upgraded to a bowl","soup","v0"
"5","4","Chili Soup","4","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Chili%20Soup/1.%20chili-beef-soup_extralarge1000_id-1081118.jpg","Comes in a cup; can be upgraded to a bowl","soup","gf"
"6","5","Caesar Salad","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Caesar%20Salad/1.%20ba-best-classic-caeser-salad.jpg","Romaine, Croutons, Parmesan","salad","v0"
"7","6","House Salad","6","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20House%20Salad/1.%20our-house-salad-recipe.jpg","Cherry Tomato, Mixed Green, Red Onion, Cucumbers, Sherry Dijon Vinaigrette","salad","v"
"8","7","Cobb Salad","14","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Cobb%20Salad/1.%20cobb-salad-sally-horiz-a-1800.jpg","Mixed Greens, Eggs, Bacon, Tomato, Blue Cheese Crumble, Sherry Vinaigrette","salad","v0"
"9","8","Salt & Pepper Calamari","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Salt%20&%20Pepper%20Calamari/1.%201371603969164.jpeg","Beer Battered, Fried Garlic, Chinese Salt, Jalapeno Vinaigrette","appetizer",""
"10","9","Fried Chicken Wings","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Fried%20Chicken%20Wings/2.%20img_6050.jpg","BBQ, Teriyaki, or Ranch Sauce","appetizer",""
"11","10","Vietnamese Pork Eggroll (4)","12","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Vietnamese%20Pork%20Eggroll%20(4)/1.%20egg-rolls-final.jpg","Shrimp & Pork Filling, Pickled Root Vegetables, Spicy Nuoc Mam","appetizer",""
"12","11","Classic French Fries","7","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Classic%20French%20Fries/1.%20sfs_french_20fries_20bandw_20b_001_article.jpg","","appetizer","v"
"13","12","Garlic and Parmesan Fries","9","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Garlic%20and%20Parmesan%20Fries/1.%20skinny-garlic-parmesan-fries-550x771.jpg","","appetizer","v"
"14","13","Sweet Potato Fries","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Sweet%20Potato%20Fries/1.%2028cooking-sweet-potato-fries1-videosixteenbyninejumbo1600.jpg","","appetizer","v"
"15","14","Super Nachos","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Super%20Nachos/1.%201382539863868.jpeg","Shredded Jack and Cheddar, Beans, Guacamole, Sour Cream, Pico De Gallo","appetizer","v0"
"16","15","Curry and Naan","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Curry%20and%20Naan/1.%20coconut-tomato-chicken-curry-861x1024.jpeg","Yellow Curry with Grilled Naan Bread","appetizer","v"
"17","16","Foot Long Hot Dog","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Foot%20Long%20Hot%20Dog/1.%20foot-long-hot-dog.jpg","Chopped Onion, Mustard, Ketchup, Relish, Fries or Salad","sandwiches&burgers",""
"18","17","Po Boy Sandwich","15","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Po%20Boy%20Sandwich/1.%20img_0517.jpg","Fried Shrimp, Baguette, Fresno Chili, Aioli, Butter Lettuce, Tomato, Fries or Salad","sandwiches&burgers",""
"19","18","Tuna Melt Sandwich","12.5","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Tuna%20Melt%20Sandwich/1.%20classic_tuna_melt.jpg","Sourdough, Tomato, Red Onion, Butter Lettuce, Cheddar or Swiss, Fries or Salad","sandwiches&burgers",""
"20","19","Turkey Club Sandwich","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Turkey%20Club%20Sandwich/1.%20detail-001.1465313338.jpg","White, Turkey, Bacon, Butter, Lettuce, Tomato, Mayonnaise, Mustard, Fries or Salad","sandwiches&burgers",""
"21","20","Grilled Cheese and Tomato Soup","9","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Grilled%20Cheese%20and%20Tomato%20Soup/1.%20large_51094.jpg","Swiss, Cheddar","sandwiches&burgers","v"
"22","21","Grilled Chicken Pesto","12","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Grilled%20Chicken%20Pesto/1.%20pesto-chicken3.jpg","Tomato, Pesto, Swiss Cheese, Potato Bun, Fries or Salad","sandwiches&burgers",""
"23","22","Cubano","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Cubano/1.%201371606019926.jpeg","Smoked Ham, Swiss Cheese, Carnitas, Pickles, Mustard, Hoagie, Fries or Salad","sandwiches&burgers",""
"24","23","BLT","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20BLT/1.%20blt.jpg","Bacon, Lettuce, Tomato, Mayo, Sourdough, Fries or Salad","sandwiches&burgers","v0"
"25","24","Classic Burger","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Classic%20Burger/1.%20c667aa8060427981c4a8d79502fda788.jpg","Onion Bun, Fresno Chili Aioli, Romaine, Lettuce, Red Onion, Tomato, Choice of Cheddar or Swiss, Fries or Salad","sandwiches&burgers",""
"26","25","Southern Fried Chicken Sandwich","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Southern%20Fried%20Chicken%20Sandwich/1.%20fried_chicken_sandwich_01_e91a1ce9464bb8d8e7663290859235f1.jpg","Potato Bun, Fried, Chicken Breast, Coleslaw, Fried Pickles, Onions, Tomato, Fries or Salad","sandwiches&burgers",""
"27","26","French Dip Sandwich","12","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20French%20Dip%20Sandwich/1.%20dsc_0580.jpg","Sliced Ribeye, Beef Aujus, Baguette, Fries or Salad","sandwiches&burgers",""
"28","27","Banh Mi - Baguette","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Banh%20Mi%20Baguette/1.%20banh-mi-baguette-ultimate-sandwich-wyza-com-au.jpg","Vietnamese Mayo, Grilled Pork, Pickled daikon and carrots, Jalapeno, Cilantro, Cucumber","sandwiches&burgers","v0"
"29","28","Spaghetti and Marinara","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Spaghetti%20and%20Marinara/1.%20b4779679-13fd-45ab-8758-ad3663729ff1.jpg","Homemade Marinara, Parmesan, Cheese","pasta","v0"
"30","29","Pasta Alfredo w/Chicken","14","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Pasta%20Alfredo/Chicken/1.%20chicken.jpeg","White Cream Sauce, Linguini Pasta, Broccoli, Spinach, Chicken Breast, Parmesan Cheese","pasta","v0"
"31","30","Vermicelli Bowl","13","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Vermicelli%20Bowl/1.%20vietnamese-noodle-bowls-chicken-20-landscape.jpg","Rice Noodle, Nuoc Mam Dressing, Pickled Daikon & Carrots, Peanuts, Cilantro, Mint","entrï¿½e",""
"32","31","Fish N chips","15","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Fish%20N%20chips/1.%20make-fish-and-chips-step-14.jpg","Beer Battered Cod, Fries, Tartar Sauce","entrï¿½e",""
"33","32","Teriyaki Chicken Plate","12","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Teriyaki%20Chicken%20Plate/1.%20sweetisland-650x975.jpg","Marinated Grilled Chicken Breast, Seasonal Vegetables, Macaroni Salad, Rice","entrï¿½e",""
"34","33","Mongolian Beef","13","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Mongolian%20Beef/1.%20slow_cooker_mongolian_beef_3.jpg","Beef, Szechuan Peppercorn Sauce, Onion, Chili, Rice","entrï¿½e",""
"35","34","Seared Salmon Teriyaki","16.5","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Seared%20Salmon%20Teriyaki/1.%20super-easy-teriyaki-salmon-1.jpg","Rice, Seasonal Vegetables","entrï¿½e",""
"36","35","Firecracker Chicken","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Firecracker%20Chicken/1.%20firecrackerfinal.jpg","Chicken Breast, Szechuan Chili, Onion, Rice","entrï¿½e",""
"37","36","Chicken Tikka Masala","15","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Chicken%20Tikka%20Masala/1.%20chicken-tikka-masala_0.jpg","Marinated and Grilled Chicken Thighs, Creamy Tomato Curry, Spiced Basmati Rice, Pickled Red Onion, Cilantro, Naan","entrï¿½e","v0"
"38","37","Palak Paneer","12","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Palak%20Paneer/1.%20palak-paneer-recipe25.jpg","Spinach Curry, Paneer Cheese, Spiced Basmati Rice, Naan","entrï¿½e","v"
"39","38","Fried Rice","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Fried%20Rice/1.%20friedricefinal.jpg","Carrots, Peas, Egg, Scallions","entrï¿½e","v"
"40","39","Chow Mein","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Chow%20Mein/1.%201440693433616.jpeg","Carrots, Onion, Scallion, Bean Sprouts, Cabbage, Egg Noodles","entrï¿½e","v"
"41","40","Salt N Pepper Pork","13","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Salt%20N%20Pepper%20Pork/1.%20saltandpepperporkchops1.jpg","Beer Battered, Chinese Salt, Bok Choy, Rice","entrï¿½e",""
"42","41","N.Y. Steak","28","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20N.Y.%20Steak/1.%20akb_stk_nys_p01_35823_sf2.jpg","Roasted Potatoes, Seasonal Vegetables","steak",""
"43","42","Ribeye","29","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Ribeye/1.%20rb035.jpg","Roasted Potatoes, Seasonal Vegetables","steak",""
"44","43","Build Your Own Omelet","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Build%20Your%20Own%20Omelet/1.%20build-your-own-omlete.jpg","(2) Meat Options Bacon, Sausage, Ham, or Spam and choice of Hash Brown or Country Potatoes & Toast:White, Sourdough, or Wheat","breakfast",""
"45","44","Bay 101 Basic","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Bay%20101%20Basic/1.%20dsc_0058.jpg","2 Eggs, 2 Bacon, 2 Sausage and choice of Hash Brown or Country Potatoes & Toast:White, Sourdough, or Wheat","breakfast",""
"46","45","Bay 101 Mini Breakfast","7.5","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Bay%20101%20Mini%20Breakfast/1.%206fbe7cdd9710722a7230ba28b974bcf2--breakfast-quesadilla-quesadilla-recipes.jpg","1 Sausage, 1 Bacon, 2 Eggs and choice of Hash Brown or Country Potatoes & Toast:White, Sourdough, or Wheat","breakfast",""
"47","46","Ham & Cheese Omelet","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Ham%20&%20Cheese%20Omelet/1.%20ham_cheese_omelette_930x5502-930x550.jpg","Choice of Cheddar or Swiss and choice of Hash Brown or Country Potatoes & Toast:White, Sourdough, or Wheat","breakfast",""
"48","47","Farmers Omelet","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Farmers%20Omelet/menu-california-omelet1.jpg","Tomato, Onion, Spinach, Avocado, Bell Pepper, Swiss or Cheddar and choice of Hash Brown or Country Potatoes & Toast:White, Sourdough, or Wheat","breakfast","v"
"49","48","Hawaiian Breakfast","14","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Hawaiian%20Breakfast/1.%20hawaiian-breakfast-pizza_exps63774_thhc2377560c03_06_2bc_rms.jpg","Spam, 2 Eggs, Mac Salad, Portuguese Sausage, Scallion Fried Rice","breakfast",""
"50","49","Breakfast Burrito","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Breakfast%20Burrito/download.jpg","Flour Tortilla, Eggs, Hash browns, Pico De Gallo, Sour Cream Choice of Bacon, Ham, Sausage or Spam","breakfast",""
"51","50","Buttermilk Pancakes","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Buttermilk%20Pancakes/SFS_Buttermilk_Pancakes-25.jpg","Butter, Maple Syrup","breakfast","v"
"52","51","Belgian Waffle","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Belgian%20Waffle/exps4869_RDS2928497A10_11_1b_WEB.jpg","Whipped Cream, Mixed Berries","breakfast","v"
"53","52","Stuffed French Toast","9","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Stuffed%20French%20Toast/1.%20creamy-stuffed-french-toast.ash","Brioche, Cream Cheese, Mixed Berries Whipped Cream, Powdered Sugar","breakfast","v"
"54","53","Fried Fish Tacos (3)","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./Fried%20Fish%20Tacos%20(3)/1.%2020130717-fish-tacos-1.jpg","Fresno Chili Aioli, Shredded Cabbage, Pico De Gallo, Sour Cream","tacos",""
"55","54","Carne Asada (3)","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Carne%20Asada%20(3)/Grilled-Carne-Asada-Skirt-Steak-Tacos.jpg","Corn Tortillas, Pico De Gallo, Guacamole, Salsa Roja and Salsa Verde","tacos",""
"56","55","Chicken (3)","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Chicken%20(3)/0020765400000.jpg","Corn Tortillas, Pico De Gallo, Guacamole, Salsa Roja and Salsa Verde","tacos",""
"57","56","Carnitas (3)","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Carnitas%20(3)/carnitas-1600.jpg","Slow Braised Pork, Corn Tortillas, Pico De Gallo, Guacamole, Salsa Roja and Salsa Verde","tacos",""
"58","57","Al Pastor (3)","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Al%20Pastor%20(3)/1.%20tacos-al-pastor-cebolla-tortilla.jpg","Slow Roasted Pork, Corn Tortillas, Pico De Gallo, Guacamole, Salsa Roja and Salsa Verde","tacos",""